review,sentiment
"""Head"" is one of those films you'll have a lot of trouble convincing your friends to see, but once they do they'll fall in love with it. I don't know how many times this has happened to me. This film is just so funny and bizarre, really a deconstruction of everything the Monkees had been up to this point in their career. A lot the credit goes to Bob Rafelson who pretty much ended the Monkee's career with this film. My guess is he wanted to get out of directing the TV show and get into features, which he did in a big way after this one. Micky Dolenz is absolutely hilarious. I can't believe he didn't have a second life as a comic actor after this film. This film has a lot of great cameos and a lot of wonderful psychedelic nonsense. I feel like the reputation of this film is continuing to build and it wouldn't surprise me if it eventually becomes a full on cult classic",positive
"In the 3rd installment of ""Left Behind"" the makers did not care to put ANY KIND OF CONTINUITY into the plot. Although all weapons on the planet have been confiscated by the United Nations, World War III suddenly begins at the snap of a finger. Within a few split-seconds the ex-lover of one of the main protagonists moves from passionately seducing him to outright hatred to a melancholy confession of love without any trace of direction. <br /><br />But foremost this film is really an irony-free zone. After the president of the United States accepts Jesus as his savior he immediately becomes a suicide bomber and blows up a skyscraper in the middle of the city. Osama Bin Laden will be very jealous when he sees this film!",negative
"It has been about 50 years since a movie has been made about romance and mysticism. The only two movies I can think of is ""Enchanted April"" (1992) and ""The Enchanted Cottage"" (1945). Both movies used wonderful actors not stars. In both movies, all the actors gave their best romantic performances.<br /><br />""Enchanted April"" is about four English women after WWI who are unhappy with their lives and find happiness in Italy while on vacation. It is amazing ""Enchanted April"" was made in 1992. It stands out as an enjoyable classic.",positive
"I was really looking forward to seeing this movie, having spent a few (fantastic) college weeks in Barcelona myself. The premise is right on cue--a confused & disordered young individual enters a world of equally confused & disordered young individuals. But the director's weak swats at symbolism, philosophy and social commentary were completely off the mark, and it leaves us, the audience, feeling confused & disordered. Bravo.<br /><br />Perhaps if this movie had been presented as a European ""American Pie"" flick, then I'd be able to turn off my brain and go along for the ride. But right off the bat, the director piques our deeper senses by introducing the symbolism of the twisted highways and the dichotomy of the ""inner self"" vs. the ""public self"" (one's ""mother tongue"" vs. one's ""secondary language""). Furthermore, it dives boldly into the subject of racial/national stereotyping. Off to an interesting start, eh?<br /><br />WRONG. That's as far as it goes. These interesting topics are hardly mentioned again except at the contrived epilogue-type ending which seemed to be the director's way of floundering to get back on topic. It reminded me of a meandering speech which goes nowhere, but the speaker ends by saying, ""So in conclusion, I hope you see how this relates to my original thought!""<br /><br />Furthermore, as other reviewers have pointed out, the cynical jab at stereotyping betrays itself. If the point is to ridicule the use of national stereotypes, then why did the director introduce a cockney-speaking, beer-swilling English brat as a caricature of prejudice? Why did the director portray the American as a neanderthal (literally banging his chest & making ape noises at one point) whilst the Europeans tolerate him superciliously? Why is the British girl the one who sinks to uttering slurs (calling French people ""frogs"" and butchering the French language) while everyone else is above all that? The answer is that this isn't a deep or well-thought out film. It's simply an Anglophobe's retort to the Anglophiles. But really it's no different from the prejudice it seeks to ridicule! Now there's a funny irony to consider.<br /><br />OK, philosophy, artistry & socio-political commentary aside, I was still very bored by this movie. There is one very funny gag which involves deceiving one of the girls' boyfriends, but aside from that I was hardly entertained at all. The only reason why I watched it through to the end is that I'd like to brush up on my French & Spanish. (You see, we monolingual Americans may be stupid, but we do try.)",negative
"As many have detailed here with a level of seriousness that I find amusing, this is *not*: <br /><br />A FILM. (cue dramatic music) <br /><br />It's just a so-bad-it's good, totally surreal, Jackie Chan stunt-for-all. The women fighters are totally kick-butt and Jackie is definitely put in his place. <br /><br />This is the movie you want to see with some good friends on a Sunday afternoon -- surrounded by munchies, ready to roar with laughter, cheer on the good guys, boo the bad guys, and continually yell, ""WHAT?"" when something totally bizarre happens. Great fun!!",negative
"This anime was underrated and still is. Hardly the dorky kids movie as noted, i still come back to this 10 years after i first saw it. One of the better movies released.<br /><br />The animation while not perfect is good, camera tricks give it a 3D feel and the story is still as good today even after i grew up and saw ground-breakers like Neon Genesis Evangelion and RahXephon. It has nowhere near the depth obviously but try to see it from a lighthearted view. It's a story to entertain, not to question.<br /><br />Still one of my favourites I come back too when i feel like a giggle on over more lighthearted animes. Not to say its a childish movies, there are surprisingly sad moments in this and you need a sense of humour to see it all.",positive
"I'm just starting to explore the so far wonderful world of monsieur Ozon. I've seen only 4 films so far, and with the last one in the row it hit me that all of them were in fact about lonely women and their actions. Not a single non-lonely female character out of 12, and all of them bring heavy impact of surroundings.<br /><br />This film is probably the only one (out of four) where this impact is for good.<br /><br />The gay theme is an almost standard part of background for Ozon's films, so it doesn't grab the accent (although the looks of the characters might). Watch for the feelings, not for their objects.<br /><br />Very nice and fleeting, truly like a summer romance, and while being a relaxation to thought and mind, it gives some food for the soul.",positive
"Relesed from Troma (which is my favorite movie company)Unspeaksble is a messy horror film that can be interesting but very dark and twisted.<br /><br />Unspeakable starts with a family in a car, they get into an accident which leaves a daughter dead and a mother deformed. the father eventually goes crazy and slashes prostitutes. He sees his daughter in other people. He kills for her. Meanwhile his now deformed wife is being raped by her orderly. These are sick people! <br /><br />Unspeakable tries to be sick and disturbing and it does manage to do that as a good horror flick this is not. Most Troma movies have a sense of humor to them but however this one doesn't.",negative
"let me first just say that in the past, i have been a huge carlin fan. i think george is one of the smartest people and best comedians on the planet. what made george so great in the past was his ability to look at things in his own twisted way, and give us his unique perspective on those things. it wasn't always meant to be funny, but you always respected his opinions, because they were presented in such a clever way. but you are all diseased is just a long rant. he doesn't give us any unique perspective on anything, he just gives us a long list of stuff that he's p.o.'d at. there is no insight, no cleverness, just an old man complaining for one hour straight about things that we have all complained about. and on top of that, it wasn't even funny. you are all diseased appeals to dumb people who can't handle anything more advanced than something simple and direct. i don't mind anger fueled comedy, but george could have done so much better. i really hope that george carlin's next show will live up to the quality that george has shown in the past.",negative
"Save the $8.97 you'll spend at Walmart to buy this DVD and go see the real film by Steven Spielberg.<br /><br />I'm a filmmaker, and being an avid fan of H.G. Wells, I had to buy this hoping to sit down and watch three hours of good entertainment. Instead, it took four days to finish watching this because I couldn't stand watching more than 10 minutes at a time. It's horrible.<br /><br />There are reports that Timothy Hines had a $20 Million budget for this production. Where the heck did it go? Did he use most of it to buy a new house? Finance his retirement? Or what? Let me start with what is actually good about this film. It does stay true to the book AND there are a few good performances in it. I can respect the actors who obviously tried to make this a good film. But good performances were quickly overshadowed by horrible... and I do mean horrible special effects. Any freshman film school student could have done a much better job with the CGI. To me, most of it looked like ""stop action"" card board cutouts that were used rather than sophisticated CGI software that a $20 Million project should be using.<br /><br />There's no excuse for the amateur post production that was applied to this film. My own partner and I sat down and recreated our version of the Ferry scene using software that cost less than $1500.00 and within a day had five minutes of scene that looked better and more realistic than what Hines created. I've seen films with budgets of less than $2 Million look better. Much better.<br /><br />In my opinion the special effects used in the original King Kong were more sophisticated and better than Hines' special effects in this film. IN fact, I have a much better appreciation for Attack of the Killer Tomatoes because of this film. There's no excuse with today's technology for a film to look like a 50's B-Movie unless that was the intention, which shouldn't have been with this particular project.<br /><br />A problem I had with the DVD transfer was that the film is jerky, another demonstration of amateur film-making.<br /><br />Overall, I have to say that I produced a $45,000 project in 2003 that have better cinematography and special effects than this film.<br /><br />I strongly encourage anyone who appreciates good film-making or who is a fan of WOTW to leave this film on the shelf and watch Attack of the 50 Foot Woman instead. It would be easier on the eyes.",negative
"my friend and i rented this one a few nights ago. and, i must say, this is the single best movie i have ever seen. i mean, woah! ""dude, we better get some brew before this joint closes"" and ""dude, linda's not wearin' a bra again."" what poetry! woah! and it's such a wonderfuly original movie, too. i mean, you don't usually find a slasher film where every single murder is exactly the same. i mean, exactly! now that's originality. and almost all the transitions between scenes are these great close-ups of the psycho in the ER scrubs. how cool! the acting is so wonderful to. the dad was just brilliant. must have studied REAL DADS before filming. and how many movies do you find that just don't make any sense? not many. but this is one of those gems. i mean, how cool is it that one guy waited outside for like six hours to pull a prank, while his friends were both inside? that's really cool. overall i'd say this is the single greatest film of the genre, nay, in the world! *****",negative
